epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.24193,1.50309,3.12593,1.26653,0.95277,0.24482,0.26968,0.1207,2.07371,2.53871,1.80615,1.25e-05,1.25e-05,1.25e-05
2,7.17248,1.58323,3.19881,1.22384,0.95571,0.24242,0.27137,0.1194,2.0606,2.55647,1.78681,3.71287e-05,3.71287e-05,3.71287e-05
3,9.28212,1.50982,3.10833,1.23722,0.95361,0.25,0.27174,0.12364,2.05739,2.56264,1.78347,6.12625e-05,6.12625e-05,6.12625e-05
4,11.6879,1.39661,3.01428,1.18353,0.95839,0.25253,0.28879,0.12758,2.06042,2.39055,1.78861,8.49012e-05,8.49012e-05,8.49012e-05
5,15.772,1.38113,2.78381,1.1382,0.94714,0.25253,0.36199,0.13555,2.07731,1.99618,1.85263,0.000108045,0.000108045,0.000108045
6,20.3394,1.27681,2.15653,1.10673,0.81255,0.3596,0.44761,0.18058,2.11709,1.72323,1.88413,0.000130694,0.000130694,0.000130694
7,24.8066,1.14839,1.64026,1.04318,0.77605,0.43673,0.66844,0.21921,2.11324,1.64174,1.88685,0.000152847,0.000152847,0.000152847
8,29.1493,0.96838,1.56989,1.0061,0.75234,0.43116,0.75404,0.25056,2.09908,1.69668,1.88601,0.000174506,0.000174506,0.000174506
9,33.0875,0.93182,1.41425,0.96206,0.75983,0.63538,0.75036,0.27852,2.10594,1.68827,1.93294,0.00019567,0.00019567,0.00019567
10,37.1032,0.91736,1.32687,0.96735,0.71482,0.62626,0.75142,0.29598,2.09424,1.53782,1.97793,0.000216339,0.000216339,0.000216339
11,41.0959,0.99548,1.12073,0.9754,0.69718,0.72727,0.74529,0.29533,2.04389,1.35109,1.94099,0.000236513,0.000236513,0.000236513
12,45.1118,1.03906,1.1242,0.97692,0.60645,0.72727,0.78128,0.28679,2.06193,1.24435,1.96398,0.000256191,0.000256191,0.000256191
13,48.4689,0.93958,1.05025,0.98175,0.62389,0.73441,0.82348,0.30696,2.01779,1.20459,1.87392,0.000275375,0.000275375,0.000275375
14,52.6214,0.99142,1.05301,0.95796,0.69713,0.80721,0.82257,0.3067,2.04516,1.17416,1.95168,0.000294064,0.000294064,0.000294064
15,55.4523,0.86825,0.90431,0.92123,0.68506,0.73737,0.81304,0.31014,2.04426,1.11544,1.99448,0.000312257,0.000312257,0.000312257
16,59.5597,0.96622,0.91562,0.92717,0.72451,0.84848,0.82865,0.31264,2.03317,1.06233,2.01581,0.000329956,0.000329956,0.000329956
17,63.1357,0.82942,0.81659,0.91024,0.7992,0.85338,0.88915,0.3476,2.02424,1.02871,2.0093,0.00034716,0.00034716,0.00034716
18,66.8312,0.82344,0.79597,0.93402,0.82832,0.85859,0.88526,0.35769,1.96784,0.98355,1.9575,0.000363869,0.000363869,0.000363869
19,70.5213,0.83302,0.82622,0.94148,0.87192,0.83838,0.87823,0.35862,1.92541,0.93609,1.933,0.000380083,0.000380083,0.000380083
20,75.1527,0.80988,0.76192,0.93193,0.8841,0.83056,0.87716,0.37114,1.92249,0.92385,1.95088,0.000395801,0.000395801,0.000395801
21,78.9306,0.74604,0.68957,0.88555,0.9251,0.82277,0.87652,0.36401,1.95705,0.90653,1.99391,0.000411025,0.000411025,0.000411025
22,82.7895,0.80275,0.67071,0.90335,0.94328,0.8343,0.87151,0.35856,1.99234,0.8572,2.03416,0.000425754,0.000425754,0.000425754
23,85.5068,0.73195,0.62299,0.89168,0.93498,0.84279,0.87859,0.34129,2.032,0.82712,2.09568,0.000439988,0.000439988,0.000439988
24,89.0321,0.75118,0.62103,0.87613,0.91148,0.84358,0.88252,0.34858,2.03293,0.82379,2.10061,0.000453726,0.000453726,0.000453726
25,91.6957,0.69232,0.62318,0.89431,0.8666,0.83258,0.8854,0.36133,1.99763,0.84222,2.06131,0.00046697,0.00046697,0.00046697
26,94.2415,0.72387,0.62935,0.87407,0.85686,0.81497,0.88005,0.34932,1.93598,0.85884,1.99944,0.000479719,0.000479719,0.000479719
27,96.8898,0.70015,0.56299,0.88245,0.87649,0.81986,0.90154,0.36242,1.89996,0.84869,1.96773,0.000491972,0.000491972,0.000491972
28,99.6475,0.65525,0.53424,0.84694,0.87649,0.81986,0.90154,0.36242,1.89996,0.84869,1.96773,0.000503731,0.000503731,0.000503731
29,102.216,0.6711,0.52065,0.88163,0.84914,0.82051,0.86578,0.36957,1.91501,0.82462,2.01205,0.000514995,0.000514995,0.000514995
30,104.712,0.71773,0.5545,0.87762,0.80387,0.84198,0.85014,0.35068,1.96495,0.81417,2.08606,0.000525764,0.000525764,0.000525764
31,107.236,0.68103,0.52493,0.85869,0.80387,0.84198,0.85014,0.35068,1.96495,0.81417,2.08606,0.000536038,0.000536038,0.000536038
32,111.086,0.65573,0.49624,0.86937,0.75335,0.81818,0.81586,0.34947,2.0067,0.795,2.15085,0.000545816,0.000545816,0.000545816
33,113.694,0.66756,0.51102,0.86633,0.73367,0.84383,0.82656,0.34284,2.00803,0.77885,2.14566,0.0005551,0.0005551,0.0005551
34,116.173,0.62456,0.51891,0.85646,0.73367,0.84383,0.82656,0.34284,2.00803,0.77885,2.14566,0.000563889,0.000563889,0.000563889
35,118.633,0.62445,0.51438,0.84377,0.81085,0.83521,0.84987,0.36406,1.99482,0.76917,2.13901,0.000572182,0.000572182,0.000572182
36,121.217,0.65683,0.5102,0.84549,0.97016,0.78688,0.9032,0.38937,1.98946,0.78955,2.13412,0.000579981,0.000579981,0.000579981
37,124.845,0.62386,0.45679,0.86009,0.97016,0.78688,0.9032,0.38937,1.98946,0.78955,2.13412,0.000587285,0.000587285,0.000587285
38,128.368,0.58793,0.44815,0.83969,0.96693,0.78288,0.90463,0.38376,2.00237,0.79462,2.16185,0.000594094,0.000594094,0.000594094
39,131.208,0.57795,0.45684,0.83709,0.94957,0.78564,0.89259,0.36796,2.01535,0.77176,2.18891,0.000600408,0.000600408,0.000600408
40,133.671,0.55438,0.41142,0.83831,0.94957,0.78564,0.89259,0.36796,2.01535,0.77176,2.18891,0.000606226,0.000606226,0.000606226
41,136.149,0.6279,0.45988,0.84406,0.93754,0.78306,0.89574,0.36344,2.03467,0.75745,2.22379,0.00061155,0.00061155,0.00061155
42,139.684,0.58814,0.43962,0.83692,0.92168,0.77975,0.89821,0.37042,1.99264,0.73173,2.16353,0.000616379,0.000616379,0.000616379
43,142.189,0.59651,0.43245,0.83684,0.92168,0.77975,0.89821,0.37042,1.99264,0.73173,2.16353,0.000620713,0.000620713,0.000620713
44,144.707,0.4938,0.40074,0.82206,0.88474,0.94334,0.95108,0.38052,2.00759,0.72421,2.17841,0.000624551,0.000624551,0.000624551
45,147.174,0.57323,0.43414,0.83108,0.88474,0.94334,0.95108,0.38052,2.00759,0.72421,2.17841,0.000627895,0.000627895,0.000627895
46,149.666,0.57638,0.4225,0.8263,0.85542,0.94949,0.94165,0.37722,2.06273,0.73189,2.24781,0.000630744,0.000630744,0.000630744
47,152.213,0.57403,0.42087,0.83929,0.85542,0.94949,0.94165,0.37722,2.06273,0.73189,2.24781,0.000633098,0.000633098,0.000633098
48,154.742,0.58413,0.40922,0.84196,0.94712,0.79192,0.94039,0.40141,2.03481,0.7432,2.24241,0.000634956,0.000634956,0.000634956
49,158.266,0.57238,0.4271,0.831,0.94712,0.79192,0.94039,0.40141,2.03481,0.7432,2.24241,0.00063632,0.00063632,0.00063632
50,162.068,0.57524,0.42161,0.81446,0.92657,0.7938,0.92701,0.39799,1.99705,0.76286,2.22143,0.000637189,0.000637189,0.000637189
51,164.551,0.51392,0.38417,0.82255,0.92657,0.7938,0.92701,0.39799,1.99705,0.76286,2.22143,0.00063125,0.00063125,0.00063125
52,168.056,0.54382,0.40745,0.84213,0.92462,0.79658,0.87764,0.37825,2.0303,0.82814,2.28426,0.000618875,0.000618875,0.000618875
53,170.834,0.53118,0.38917,0.82833,0.92462,0.79658,0.87764,0.37825,2.0303,0.82814,2.28426,0.0006065,0.0006065,0.0006065
54,173.423,0.53699,0.39875,0.82894,0.91799,0.79976,0.85847,0.37403,2.02976,0.84238,2.30296,0.000594125,0.000594125,0.000594125
55,176.228,0.50916,0.39554,0.84646,0.91799,0.79976,0.85847,0.37403,2.02976,0.84238,2.30296,0.00058175,0.00058175,0.00058175
56,178.763,0.4864,0.35635,0.8132,0.91525,0.80147,0.86301,0.3828,1.98374,0.81924,2.24951,0.000569375,0.000569375,0.000569375
57,181.181,0.53873,0.39255,0.82149,0.91525,0.80147,0.86301,0.3828,1.98374,0.81924,2.24951,0.000557,0.000557,0.000557
58,183.659,0.53102,0.38463,0.8331,0.92573,0.78182,0.87694,0.38358,1.99857,0.78836,2.26642,0.000544625,0.000544625,0.000544625
59,186.15,0.47051,0.36951,0.83086,0.92573,0.78182,0.87694,0.38358,1.99857,0.78836,2.26642,0.00053225,0.00053225,0.00053225
60,188.609,0.51962,0.39395,0.82902,0.95784,0.77481,0.8842,0.39532,1.99798,0.78161,2.25701,0.000519875,0.000519875,0.000519875
61,191.09,0.50939,0.3832,0.8386,0.95784,0.77481,0.8842,0.39532,1.99798,0.78161,2.25701,0.0005075,0.0005075,0.0005075
62,194.777,0.45666,0.34941,0.79832,0.93882,0.81121,0.90817,0.40257,1.98203,0.77348,2.24495,0.000495125,0.000495125,0.000495125
63,198.513,0.47595,0.34971,0.80628,0.93882,0.81121,0.90817,0.40257,1.98203,0.77348,2.24495,0.00048275,0.00048275,0.00048275
64,202.397,0.51688,0.38005,0.81045,0.93695,0.81595,0.90717,0.39556,2.01579,0.78403,2.30571,0.000470375,0.000470375,0.000470375
65,204.936,0.44858,0.3473,0.8105,0.93695,0.81595,0.90717,0.39556,2.01579,0.78403,2.30571,0.000458,0.000458,0.000458
66,207.556,0.47015,0.35489,0.82693,0.93957,0.8118,0.90311,0.38948,2.02367,0.75847,2.3337,0.000445625,0.000445625,0.000445625
67,210.117,0.48558,0.36089,0.81374,0.93957,0.8118,0.90311,0.38948,2.02367,0.75847,2.3337,0.00043325,0.00043325,0.00043325
68,212.939,0.43831,0.34002,0.82276,0.93779,0.80957,0.90483,0.37961,2.00023,0.75181,2.32688,0.000420875,0.000420875,0.000420875
69,215.437,0.43621,0.34073,0.82712,0.93779,0.80957,0.90483,0.37961,2.00023,0.75181,2.32688,0.0004085,0.0004085,0.0004085
70,218.135,0.47853,0.37314,0.81126,0.93678,0.80556,0.91934,0.38325,2.00938,0.76602,2.34596,0.000396125,0.000396125,0.000396125
71,220.752,0.40997,0.32205,0.82586,0.93678,0.80556,0.91934,0.38325,2.00938,0.76602,2.34596,0.00038375,0.00038375,0.00038375
72,224.666,0.46185,0.35527,0.82022,0.90973,0.81274,0.91229,0.3866,2.01441,0.77779,2.35758,0.000371375,0.000371375,0.000371375
73,227.179,0.4087,0.33356,0.79573,0.90973,0.81274,0.91229,0.3866,2.01441,0.77779,2.35758,0.000359,0.000359,0.000359
74,229.82,0.45402,0.35892,0.79855,0.90178,0.81102,0.91256,0.38318,1.99654,0.81341,2.35646,0.000346625,0.000346625,0.000346625
75,232.234,0.45653,0.35247,0.81921,0.90178,0.81102,0.91256,0.38318,1.99654,0.81341,2.35646,0.00033425,0.00033425,0.00033425
76,234.874,0.43369,0.32874,0.80998,0.91498,0.80058,0.91906,0.38829,2.01001,0.80232,2.38448,0.000321875,0.000321875,0.000321875
77,237.402,0.4307,0.31823,0.81766,0.91498,0.80058,0.91906,0.38829,2.01001,0.80232,2.38448,0.0003095,0.0003095,0.0003095
78,239.937,0.43701,0.33491,0.80928,0.9208,0.80094,0.90964,0.38789,2.03145,0.79842,2.42616,0.000297125,0.000297125,0.000297125
